Date : 2021-08-05 17:54:31
Directory : /Users/ganneyd/SofwareDev/flutter/grow-2021/lib
Total : 176 files,  8302 codes, 1380 comments, 1343 blanks, all 11025 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        176 |      8,302 |      1,380 |      1,343 |     11,025 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |        176 |      8,302 |      1,380 |      1,343 |     11,025 |
| core                                                                                                                                          |         13 |        139 |        115 |         50 |        304 |
| core/error                                                                                                                                    |          2 |         60 |         54 |         20 |        134 |
| core/usecases                                                                                                                                 |          1 |         10 |          0 |          4 |         14 |
| core/util                                                                                                                                     |         10 |         69 |         61 |         26 |        156 |
| features                                                                                                                                      |        160 |      8,010 |      1,249 |      1,278 |     10,537 |
| features/grow                                                                                                                                 |        160 |      8,010 |      1,249 |      1,278 |     10,537 |
| features/grow/data                                                                                                                            |         28 |      2,090 |        235 |        261 |      2,586 |
| features/grow/data/datasources                                                                                                                |          3 |        143 |         47 |         20 |        210 |
| features/grow/data/datasources/local                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/datasources/remote                                                                                                         |          1 |        141 |         46 |         17 |        204 |
| features/grow/data/datasources/remote/firebase                                                                                                |          1 |        141 |         46 |         17 |        204 |
| features/grow/data/models                                                                                                                     |         19 |      1,464 |        111 |        178 |      1,753 |
| features/grow/data/models/admin                                                                                                               |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/background                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/child                                                                                                               |          3 |        412 |         32 |         48 |        492 |
| features/grow/data/models/clothing                                                                                                            |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/goal                                                                                                                |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/parent                                                                                                              |          3 |        390 |         32 |         45 |        467 |
| features/grow/data/models/route                                                                                                               |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/school                                                                                                              |          3 |        369 |         23 |         45 |        437 |
| features/grow/data/models/trophy                                                                                                              |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/user                                                                                                                |          2 |        218 |         20 |         30 |        268 |
| features/grow/data/repositories                                                                                                               |          6 |        483 |         77 |         63 |        623 |
| features/grow/domain                                                                                                                          |         48 |      2,087 |        430 |        405 |      2,922 |
| features/grow/domain/entities                                                                                                                 |         19 |      1,426 |        140 |        222 |      1,788 |
| features/grow/domain/entities/admin                                                                                                           |          1 |         10 |          6 |          5 |         21 |
| features/grow/domain/entities/background                                                                                                      |          2 |        242 |         15 |         32 |        289 |
| features/grow/domain/entities/child                                                                                                           |          1 |         20 |          9 |          9 |         38 |
| features/grow/domain/entities/clothing                                                                                                        |          2 |        238 |         15 |         30 |        283 |
| features/grow/domain/entities/goal                                                                                                            |          2 |        290 |         16 |         31 |        337 |
| features/grow/domain/entities/parent                                                                                                          |          1 |         18 |          9 |          9 |         36 |
| features/grow/domain/entities/route                                                                                                           |          2 |        207 |         16 |         30 |        253 |
| features/grow/domain/entities/school                                                                                                          |          1 |         17 |          7 |          7 |         31 |
| features/grow/domain/entities/trophy                                                                                                          |          3 |        320 |         20 |         48 |        388 |
| features/grow/domain/entities/user                                                                                                            |          1 |         25 |         21 |         13 |         59 |
| features/grow/domain/repositories                                                                                                             |          5 |         63 |         69 |         29 |        161 |
| features/grow/domain/usecases                                                                                                                 |         24 |        598 |        221 |        154 |        973 |
| features/grow/domain/usecases/authentication                                                                                                  |          2 |         47 |         10 |         11 |         68 |
| features/grow/domain/usecases/child                                                                                                           |          9 |        256 |        136 |         65 |        457 |
| features/grow/domain/usecases/parent                                                                                                          |          7 |        194 |         52 |         48 |        294 |
| features/grow/domain/usecases/school                                                                                                          |          2 |         35 |         10 |         12 |         57 |
| features/grow/presentation                                                                                                                    |         83 |      3,746 |        579 |        609 |      4,934 |
| features/grow/presentation/bloc                                                                                                               |          3 |        107 |         34 |         33 |        174 |
| features/grow/presentation/child                                                                                                              |         55 |      2,719 |        311 |        384 |      3,414 |
| features/grow/presentation/child/pages                                                                                                        |         50 |      2,532 |        280 |        365 |      3,177 |
| features/grow/presentation/child/pages/goals                                                                                                  |          1 |         29 |          2 |          2 |         33 |
| features/grow/presentation/child/pages/goals/view                                                                                             |          1 |         29 |          2 |          2 |         33 |
| features/grow/presentation/child/pages/home                                                                                                   |          6 |        745 |         44 |         59 |        848 |
| features/grow/presentation/child/pages/home/cubit                                                                                             |          3 |        265 |         26 |         40 |        331 |
| features/grow/presentation/child/pages/home/view                                                                                              |          3 |        480 |         18 |         19 |        517 |
| features/grow/presentation/child/pages/leaderboard                                                                                            |          5 |        346 |         32 |         51 |        429 |
| features/grow/presentation/child/pages/leaderboard/cubit                                                                                      |          3 |        122 |         22 |         36 |        180 |
| features/grow/presentation/child/pages/leaderboard/view                                                                                       |          1 |        102 |          2 |          4 |        108 |
| features/grow/presentation/child/pages/leaderboard/widgets                                                                                    |          1 |        122 |          8 |         11 |        141 |
| features/grow/presentation/child/pages/profile                                                                                                |          3 |          0 |          0 |          3 |          3 |
| features/grow/presentation/child/pages/profile/cubit                                                                                          |          2 |          0 |          0 |          2 |          2 |
| features/grow/presentation/child/pages/profile/view                                                                                           |          1 |          0 |          0 |          1 |          1 |
| features/grow/presentation/child/pages/routes                                                                                                 |          4 |        116 |         20 |         35 |        171 |
| features/grow/presentation/child/pages/routes/cubit                                                                                           |          3 |        116 |         20 |         34 |        170 |
| features/grow/presentation/child/pages/routes/view                                                                                            |          1 |          0 |          0 |          1 |          1 |
| features/grow/presentation/child/pages/run                                                                                                    |          4 |        114 |         20 |         35 |        169 |
| features/grow/presentation/child/pages/run/cubit                                                                                              |          3 |        114 |         20 |         34 |        168 |
| features/grow/presentation/child/pages/run/view                                                                                               |          1 |          0 |          0 |          1 |          1 |
| features/grow/presentation/child/pages/sign_up                                                                                                |          8 |        582 |        111 |         77 |        770 |
| features/grow/presentation/child/pages/sign_up/cubit                                                                                          |          3 |        407 |         76 |         61 |        544 |
| features/grow/presentation/child/pages/sign_up/view                                                                                           |          5 |        175 |         35 |         16 |        226 |
| features/grow/presentation/child/pages/statistics                                                                                             |          4 |        139 |         20 |         37 |        196 |
| features/grow/presentation/child/pages/statistics/cubit                                                                                       |          3 |        113 |         20 |         34 |        167 |
| features/grow/presentation/child/pages/statistics/view                                                                                        |          1 |         26 |          0 |          3 |         29 |
| features/grow/presentation/child/pages/store                                                                                                  |         15 |        461 |         31 |         66 |        558 |
| features/grow/presentation/child/pages/store/cubit                                                                                            |          3 |        113 |         20 |         34 |        167 |
| features/grow/presentation/child/pages/store/sub_views                                                                                        |         11 |        264 |          9 |         26 |        299 |
| features/grow/presentation/child/pages/store/sub_views/background                                                                             |          3 |         49 |          2 |          7 |         58 |
| features/grow/presentation/child/pages/store/sub_views/background/cubit                                                                       |          2 |          0 |          0 |          2 |          2 |
| features/grow/presentation/child/pages/store/sub_views/background/views                                                                       |          1 |         49 |          2 |          5 |         56 |
| features/grow/presentation/child/pages/store/sub_views/clothing                                                                               |          3 |         46 |          2 |          7 |         55 |
| features/grow/presentation/child/pages/store/sub_views/clothing/cubit                                                                         |          2 |          0 |          0 |          2 |          2 |
| features/grow/presentation/child/pages/store/sub_views/clothing/views                                                                         |          1 |         46 |          2 |          5 |         53 |
| features/grow/presentation/child/pages/store/sub_views/medals                                                                                 |          3 |         12 |          2 |          5 |         19 |
| features/grow/presentation/child/pages/store/sub_views/medals/cubit                                                                           |          2 |          0 |          0 |          2 |          2 |
| features/grow/presentation/child/pages/store/sub_views/medals/views                                                                           |          1 |         12 |          2 |          3 |         17 |
| features/grow/presentation/child/pages/store/view                                                                                             |          1 |         84 |          2 |          6 |         92 |
| features/grow/presentation/child/widgets                                                                                                      |          4 |        179 |         31 |         18 |        228 |
| features/grow/presentation/child/widgets/form_group                                                                                           |          1 |         32 |         17 |          4 |         53 |
| features/grow/presentation/child/widgets/form_widget                                                                                          |          3 |        147 |         14 |         14 |        175 |
| features/grow/presentation/pages                                                                                                              |          8 |        296 |         38 |         53 |        387 |
| features/grow/presentation/pages/advertisement                                                                                                |          1 |          0 |          0 |          1 |          1 |
| features/grow/presentation/pages/advertisement/view                                                                                           |          1 |          0 |          0 |          1 |          1 |
| features/grow/presentation/pages/login                                                                                                        |          6 |        284 |         36 |         49 |        369 |
| features/grow/presentation/pages/login/cubit                                                                                                  |          3 |        163 |         23 |         39 |        225 |
| features/grow/presentation/pages/login/view                                                                                                   |          1 |         56 |          5 |          4 |         65 |
| features/grow/presentation/pages/login/widgets                                                                                                |          2 |         65 |          8 |          6 |         79 |
| features/grow/presentation/pages/login/widgets/form_group                                                                                     |          1 |          8 |          5 |          3 |         16 |
| features/grow/presentation/pages/login/widgets/form_widget                                                                                    |          1 |         57 |          3 |          3 |         63 |
| features/grow/presentation/parent                                                                                                             |          4 |        241 |         26 |         42 |        309 |
| features/grow/presentation/parent/pages                                                                                                       |          4 |        241 |         26 |         42 |        309 |
| features/grow/presentation/parent/pages/home                                                                                                  |          4 |        241 |         26 |         42 |        309 |
| features/grow/presentation/parent/pages/home/cubit                                                                                            |          3 |        188 |         22 |         37 |        247 |
| features/grow/presentation/parent/pages/home/view                                                                                             |          1 |         53 |          4 |          5 |         62 |
| features/grow/presentation/utils                                                                                                              |          2 |          6 |          4 |          7 |         17 |
| features/grow/presentation/widgets                                                                                                            |         11 |        377 |        166 |         90 |        633 |
| features/grow/presentation/widgets/buttons                                                                                                    |          1 |         64 |          7 |          4 |         75 |
| features/grow/presentation/widgets/form_group                                                                                                 |          2 |         12 |          5 |          4 |         21 |
| features/grow/presentation/widgets/form_inputs                                                                                                |          4 |        163 |         23 |         22 |        208 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                      | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/app.dart                                                                                      | Dart     |         85 |          4 |          7 |         96 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/error/exceptions.dart                                                                    | Dart     |          6 |         11 |          6 |         23 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/error/failures.dart                                                                      | Dart     |         54 |         43 |         14 |        111 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/usecases/usecases.dart                                                                   | Dart     |         10 |          0 |          4 |         14 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/util/authentication.dart                                                                 | Dart     |          0 |          0 |          1 |          1 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/util/build_info.dart                                                                     | Dart     |          7 |          5 |          2 |         14 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/util/clothing_util.dart                                                                  | Dart     |          1 |          4 |          2 |          7 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/util/gender.dart                                                                         | Dart     |          5 |          6 |          3 |         14 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/util/goal_util.dart                                                                      | Dart     |         12 |         16 |          9 |         37 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/util/privilege_util.dart                                                                 | Dart     |         22 |         16 |          2 |         40 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/util/school_util.dart                                                                    | Dart     |          5 |          7 |          3 |         15 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/util/trophy_util.dart                                                                    | Dart     |          1 |          6 |          2 |          9 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/util/user_type_util.dart                                                                 | Dart     |          9 |          1 |          1 |         11 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/core/util/util.dart                                                                           | Dart     |          7 |          0 |          1 |          8 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/features/grow/data/datasources/datasources.dart                                               | Dart     |          2 |          1 |          2 |          5 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/features/grow/data/datasources/local/local_datasource.dart                                    | Dart     |          0 |          0 |          1 |          1 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/features/grow/data/datasources/remote/firebase/grow_remote_datasource.dart                    | Dart     |        141 |         46 |         17 |        204 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/features/grow/data/models/admin/admin_model.dart                                              | Dart     |          0 |          0 |          1 |          1 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/features/grow/data/models/background/background_model.dart                                    | Dart     |          0 |          0 |          1 |          1 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/features/grow/data/models/child/child_model.dart                                              | Dart     |         59 |         14 |          7 |         80 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/features/grow/data/models/child/child_model.freezed.dart                                      | Dart     |        288 |         14 |         32 |        334 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/features/grow/data/models/child/child_model.g.dart                                            | Dart     |         65 |          4 |          9 |         78 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/features/grow/data/models/child_user_model.dart                                               | Dart     |         66 |          4 |          3 |         73 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/features/grow/data/models/clothing/clothing_model.dart                                        | Dart     |          0 |          0 |          1 |          1 |
| /Users/ganneyd/SofwareDev/flutter/grow-2021/lib/features/grow/data/models/goal/goal_model.dart                                                | Dart     |          0 |          0 |          1 |          1 |
