Date : 2021-08-03 12:12:56
Directory : /Users/ganneyd/SofwareDev/flutter/grow-2021/lib
Total : 140 files,  6831 codes, 1155 comments, 1094 blanks, all 9080 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        140 |      6,831 |      1,155 |      1,094 |      9,080 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |        140 |      6,831 |      1,155 |      1,094 |      9,080 |
| core                                                                                                                                  |         12 |        132 |        110 |         48 |        290 |
| core/error                                                                                                                            |          2 |         60 |         54 |         20 |        134 |
| core/usecases                                                                                                                         |          1 |         10 |          0 |          4 |         14 |
| core/util                                                                                                                             |          9 |         62 |         56 |         24 |        142 |
| features                                                                                                                              |        125 |      6,561 |      1,028 |      1,030 |      8,619 |
| features/grow                                                                                                                         |        125 |      6,561 |      1,028 |      1,030 |      8,619 |
| features/grow/data                                                                                                                    |         26 |      1,992 |        226 |        251 |      2,469 |
| features/grow/data/datasources                                                                                                        |          3 |        143 |         45 |         20 |        208 |
| features/grow/data/datasources/local                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/datasources/remote                                                                                                 |          1 |        141 |         44 |         17 |        202 |
| features/grow/data/datasources/remote/firebase                                                                                        |          1 |        141 |         44 |         17 |        202 |
| features/grow/data/models                                                                                                             |         18 |      1,429 |        107 |        175 |      1,711 |
| features/grow/data/models/admin                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/background                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/child                                                                                                       |          3 |        477 |         32 |         48 |        557 |
| features/grow/data/models/clothing                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/goal                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/parent                                                                                                      |          3 |        390 |         32 |         45 |        467 |
| features/grow/data/models/route                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/school                                                                                                      |          3 |        369 |         23 |         45 |        437 |
| features/grow/data/models/trophy                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| features/grow/data/models/user                                                                                                        |          2 |        184 |         20 |         30 |        234 |
| features/grow/data/repositories                                                                                                       |          5 |        420 |         74 |         56 |        550 |
| features/grow/domain                                                                                                                  |         44 |      2,072 |        354 |        388 |      2,814 |
| features/grow/domain/entities                                                                                                         |         18 |      1,416 |        138 |        220 |      1,774 |
| features/grow/domain/entities/admin                                                                                                   |          1 |         10 |          6 |          5 |         21 |
| features/grow/domain/entities/background                                                                                              |          2 |        242 |         15 |         32 |        289 |
| features/grow/domain/entities/child                                                                                                   |          1 |         23 |         11 |         11 |         45 |
| features/grow/domain/entities/clothing                                                                                                |          2 |        238 |         15 |         30 |        283 |
| features/grow/domain/entities/goal                                                                                                    |          2 |        290 |         16 |         31 |        337 |
| features/grow/domain/entities/parent                                                                                                  |          1 |         18 |          9 |          9 |         36 |
| features/grow/domain/entities/route                                                                                                   |          2 |        207 |         16 |         30 |        253 |
| features/grow/domain/entities/school                                                                                                  |          1 |         17 |          7 |          7 |         31 |
| features/grow/domain/entities/trophy                                                                                                  |          3 |        320 |         20 |         48 |        388 |
| features/grow/domain/entities/user                                                                                                    |          1 |         26 |         19 |         12 |         57 |
| features/grow/domain/repositories                                                                                                     |          4 |         56 |         64 |         25 |        145 |
| features/grow/domain/usecases                                                                                                         |         22 |        600 |        152 |        143 |        895 |
| features/grow/domain/usecases/authentication                                                                                          |          2 |         47 |         10 |         11 |         68 |
| features/grow/domain/usecases/child                                                                                                   |          9 |        280 |         77 |         64 |        421 |
| features/grow/domain/usecases/parent                                                                                                  |          7 |        194 |         52 |         48 |        294 |
| features/grow/domain/usecases/school                                                                                                  |          1 |         14 |          3 |          4 |         21 |
| features/grow/presentation                                                                                                            |         54 |      2,448 |        444 |        388 |      3,280 |
| features/grow/presentation/bloc                                                                                                       |          3 |        107 |         34 |         33 |        174 |
| features/grow/presentation/child                                                                                                      |         26 |      1,426 |        176 |        163 |      1,765 |
| features/grow/presentation/child/pages                                                                                                |         21 |      1,239 |        145 |        144 |      1,528 |
| features/grow/presentation/child/pages/goals                                                                                          |          1 |          0 |          0 |          1 |          1 |
